customer_code,nome,cognome,email,data_nascita,sesso,nazionalita,citta,paese,data_registrazione
CUST00498,Megan,Alexander,megan.alexander971@yahoo.com,2007-09-10,F,Regno Unito,East Mark,Regno Unito,2025-11-10
CUST00245,Eliana,Sanudo,eliana.sanudo426@live.com,2006-08-16,F,Italia,  VIGHIZZOLO DI CANTU'  ,Italia,2025-12-30
CUST00553,Antonia,Onio,antonia.onio625@tim.it,2006-08-07,F,Italia,Rofrano,Italia,2025-10-21
CUST00214,nicole,hirschmann,nicole.hirschmann299@chello.at,1958-01-08,F,Austria,Purkersdorf,Austria,2024-03-17
CUST00550,Atenulf,Barracco,atenulf.barracco575@hotmail.com,1982-06-22,M,Italia,Dueville,Italia,2024-11-23
CUST00507,陽子,斉藤,yangzi.qiteng658@yahoo.com,1984-05-16,F,Giappone,  練馬区  ,Giappone,2025-01-21
CUST00606,Federica,Bignardi,federica.bignardi6953@libero.it,1990-12-25,F,Italia,Cedegolo,Italia,2024-01-05
CUST00078,James,Peterson,james.peterson519@gmail.com,1985-05-05,M,Stati Uniti,New Dwayneview,Stati Uniti,2022-02-24
CUST00532,Claudia,Fuseli,claudia.fuseli513@yahoo.com,1993-01-02,F,Italia,Trecroci,Italia,2023-10-02
CUST00146,Beatrice,vattimo,beatrice.vattimo556@libero.it,2000-08-14,F,Italia,Unsere liebe Frau i. W.,Italia,2025-04-29
CUST00269,dolores,Zichichi,dolores.zichichi580@hotmail.it,1998-11-26,F,Italia,Balossa Bigli,Italia,2025-02-07
CUST00032,Jesus,Adams,jesus.adams699@yahoo.com,1977-09-25,M,Stati Uniti,Lake Erica,Stati Uniti,2024-05-02
CUST00056,京助,伊藤,jingzhu.yiteng690@yahoo.com,1987-11-21,M,,墨田区,Giappone,2024-11-10
CUST00091,Tabitha,willis,tabitha.willis565@yahoo.com.au,1965-12-14,F,Australia,Masonmouth,Australia,2022-11-03
CUST00415,Gianluigi,Sommaruga,gianluigi.sommaruga739@vodafone.it,1983-08-02,M,Italia,Brindisi Montagna,Italia,2022-09-24
CUST00077,Rosa,Giacometti,rosa.giacometti637@libero.it,1971-10-04,F,Italia,Fagnano,Italia,04-12-2025
CUST00003,Enzio,Emanuelli,enzio.emanuelli605@fastwebnet.it,2007-07-02,m,Italia,Trabia Miniere,Italia,2025-12-16
CUST00480,Nikola,Hoffmann,nikola.hoffmann627@gmx.at,1971-05-23,M,Austria,Vils,Austria,2024-09-23
