customer_key;nome_completo;eta;paese;sesso;tenure_giorni;recency_giorni;numero_ordini;spesa_totale;aov;diversita_categorie;quota_ordini_scontati;numero_ordini_annullati;regolarita_acquisti;metodo_pagamento_prevalente;regolarita_non_calcolabile;mai_acquistato;target_churned
3;Antonia Onio;19;Italia;Femmina;10;10;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
4;Nicole Hirschmann;67;Austria;Femmina;593;0;28;3345,33;119,48;6;0.020000;5;17,68;Bonifico bancario;0;0;No
5;Atenulf Barracco;43;Italia;Maschio;342;73;6;1802,94;300,49;5;0.000000;3;43,49;Carta di credito;0;0;No
6;陽子 斉藤;41;Giappone;Femmina;283;2;9;687,42;76,38;4;0.000000;1;28,85;PayPal;0;0;No
7;Claudia Fuseli;32;Italia;Femmina;760;26;27;3782,16;140,08;6;0.030000;5;27,13;Carta di credito;0;0;No
8;Beatrice Vattimo;25;Italia;Femmina;185;51;1;57,1;57,1;2;0.000000;2;0;Contrassegno;0;0;No
9;Dolores Zichichi;26;Italia;Femmina;266;14;11;3340,51;303,68;6;0.000000;2;25,2;Carta di credito;0;0;Si
10;Jesus Adams;48;Stati Uniti;Maschio;547;6;25;6347,47;253,9;6;0.000000;5;20,65;Bonifico bancario;0;0;Si
11;京助 伊藤;37;Giappone;Maschio;355;82;23;4341,95;188,78;6;0.090000;7;10,09;Carta di credito;0;0;No
12;Tabitha Willis;59;Australia;Femmina;1093;35;36;8216,76;228,24;6;0.000000;9;28,39;Bonifico bancario;0;0;No
13;Gianluigi Sommaruga;42;Italia;Maschio;1133;192;57;10761,28;188,79;6;0.010000;9;13,26;Bonifico bancario;0;0;No
15;Nikola Hoffmann;54;Austria;Maschio;403;17;15;4486,09;299,07;6;0.030000;1;29,37;Carta di credito;0;0;No
17;Eva Parmitano;18;Italia;Femmina;71;4;4;563,07;140,77;4;0.000000;0;16,3;Contrassegno;0;0;Si
18;David Paier;54;Austria;Maschio;1014;8;47;16772,46;356,86;6;0.020000;11;17,01;PayPal;0;0;No
19;Klaus-michael Liebelt;35;Germania;Maschio;498;11;16;1333,71;83,36;5;0.060000;4;27,23;Bonifico bancario;0;0;No
20;Michael Sims;38;Canada;Maschio;814;38;64;9845,78;153,84;6;0.010000;11;10,2;Bonifico bancario;0;0;No
21;María Teresa Vicens;53;Spagna;Femmina;452;37;16;3085,96;192,87;6;0.070000;3;18,27;Bonifico bancario;0;0;No
22;Thibault Leroy;37;Francia;Maschio;132;28;4;1396,31;349,08;5;0.130000;1;17,65;PayPal;0;0;No
23;Roberta Ruggieri;28;Italia;Femmina;980;24;50;9108,86;182,18;6;0.030000;8;16,35;Bonifico bancario;0;0;No
24;Erika Gradenigo;37;Italia;Femmina;363;38;11;1280,02;116,37;6;0.000000;2;21,8;Carta di credito;0;0;No
25;Leandro Da Mota;24;Brasile;Maschio;1004;18;105;22451,75;213,83;6;0.020000;18;8,34;Bonifico bancario;0;0;No
26;Bartek Osipiuk;20;Polonia;Maschio;279;4;9;2025,43;225,05;6;0.000000;2;25,36;PayPal;0;0;No
27;Elladio Filzi;42;Italia;Maschio;440;3;14;4678,88;334,21;6;0.060000;1;27,68;Contrassegno;0;0;No
28;Michael Colon;22;Stati Uniti;Maschio;187;41;4;133,95;33,49;4;0.000000;3;35,43;Carta di credito;0;0;No
29;Lauretta Lercari;46;Italia;Femmina;96;12;1;227,23;227,23;2;0.000000;0;19,67;Bonifico bancario;1;0;No
30;Cipriano Aragonés;28;Spagna;Maschio;824;26;31;5792,74;186,86;6;0.020000;8;28,69;Bonifico bancario;0;0;No
31;Tiziano Ovadia;43;Italia;Maschio;715;36;32;6788,01;212,13;6;0.050000;3;21,41;PayPal;0;0;No
32;Sara Lopes;49;Portogallo;Femmina;447;24;15;2300,69;153,38;6;0.120000;1;27,83;Bonifico bancario;0;0;No
33;Hannah Schiffer;18;Paesi Bassi;Femmina;19;14;1;63,39;63,39;1;0.000000;0;19,67;PayPal;1;0;No
34;Terry Kirby;42;Regno Unito;Maschio;585;19;27;6591,34;244,12;6;0.040000;6;21,45;Carta di credito;0;0;No
35;Dirk Lambrecht;43;Belgio;Maschio;257;9;8;1333,46;166,68;6;0.000000;1;26,33;Bonifico bancario;0;0;No
36;Alina Bottaro;70;Italia;Femmina;531;26;16;6296,59;393,54;5;0.040000;6;32,15;PayPal;0;0;No
37;Aurora Manolesso;39;Italia;Femmina;1216;3;65;12330,41;189,7;6;0.040000;9;15,4;PayPal;0;0;No
38;Amir Reynders;25;Belgio;Maschio;389;22;10;4021,47;402,15;5;0.000000;2;38,28;Bonifico bancario;0;0;No
39;Paloma Durante;46;Italia;Femmina;1091;33;51;9251,83;181,41;6;0.000000;10;17,87;Bonifico bancario;0;0;No
40;Ubaldo Montessori;38;Italia;Maschio;41;41;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
41;Carlo Pedersoli;35;Italia;Maschio;672;46;23;6713,47;291,89;6;0.000000;6;21,03;Contrassegno;0;0;No
42;Arthur Marquez;31;Stati Uniti;Maschio;613;6;26;7013,08;269,73;6;0.000000;3;20,24;Carta di credito;0;0;No
43;Mathias Jesus;21;Brasile;Maschio;968;28;99;16323,31;164,88;6;0.020000;25;8,7;PayPal;0;0;No
44;Pina Interminelli;22;Italia;Femmina;1;1;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
46;Pier Camanni;40;Italia;Maschio;17;1;2;244,66;122,33;3;0.000000;0;5,81;Contrassegno;0;0;No
47;Rafaela Caldeira;32;Brasile;Femmina;677;26;29;7491,37;258,32;6;0.000000;2;22,09;PayPal;0;0;No
49;Gust Mertens;26;Belgio;Maschio;460;0;24;4956,75;206,53;6;0.000000;1;15,99;Carta di credito;0;0;No
50;Giuliana Falloppio;47;Italia;Femmina;400;14;14;6642,5;474,46;6;0.000000;0;21,45;Carta di credito;0;0;No
51;Amleto Lettiere;50;Italia;Maschio;190;11;7;758,97;108,42;4;0.000000;2;18,98;Carta di credito;0;0;No
52;Martha Bodner;42;Austria;Femmina;269;5;19;8968,29;472,02;6;0.000000;3;10,84;PayPal;0;0;No
53;Jessica Bowers;48;Australia;Femmina;113;4;4;121,64;30,41;3;0.000000;1;18,84;Bonifico bancario;0;0;No
54;Fredo Delle;53;Italia;Maschio;711;4;33;7753,6;234,96;6;0.000000;6;19,46;Carta di credito;0;0;No
55;Valeria Scotti;57;Italia;Femmina;52;42;1;1140,9;1140,9;1;0.000000;0;19,67;Bonifico bancario;1;0;No
56;Roy Stoll;43;Germania;Maschio;913;50;47;10479,64;222,97;6;0.030000;10;14,41;Carta di credito;0;0;No
