customer_key;nome_completo;eta;paese;sesso;tenure_giorni;recency_giorni;frequency;monetary;frequency_normalizzata;regolarita_acquisti;regolarita_non_calcolabile;aov;diversita_categorie;quota_ordini_scontati;numero_ordini_annullati;metodo_pagamento_prevalente
1;Megan Alexander;18;Regno Unito;Femmina;51;1;1;149,76;0.590000000000000000;21,95;1;149,76;2;0.000000;0;PayPal
3;Antonia Onio;19;Italia;Femmina;71;23;2;1248,29;0.850000000000000000;21,95;1;624,14;2;0.000000;2;PayPal
4;Nicole Hirschmann;67;Austria;Femmina;654;27;30;3575,36;1.380000000000000000;18,74;0;119,18;6;0.020000;5;Carta di credito
5;Atenulf Barracco;43;Italia;Maschio;403;18;9;2144,92;0.670000000000000000;41,38;0;238,32;5;0.000000;4;Contrassegno
6;陽子 斉藤;41;Giappone;Femmina;344;9;12;1100,26;1.050000000000000000;27,37;0;91,69;5;0.000000;1;Bonifico bancario
7;Claudia Fuseli;32;Italia;Femmina;821;3;30;3917,92;1.100000000000000000;28,29;0;130,6;6;0.020000;5;PayPal
8;Beatrice Vattimo;25;Italia;Femmina;246;10;6;1738,36;0.730000000000000000;27,23;0;289,73;4;0.000000;2;PayPal
9;Dolores Zichichi;27;Italia;Femmina;327;75;11;3340,51;1.010000000000000000;29,96;0;303,68;6;0.000000;2;Carta di credito
10;Jesus Adams;48;Stati Uniti;Maschio;608;67;25;6347,47;1.230000000000000000;24,93;0;253,9;6;0.000000;6;PayPal
11;京助 伊藤;38;Giappone;Maschio;416;5;29;4909,79;2.090000000000000000;18,48;0;169,3;6;0.070000;7;Bonifico bancario
12;Tabitha Willis;60;Australia;Femmina;1154;32;39;8378,37;1.010000000000000000;34,1;0;214,83;6;0.000000;9;PayPal
13;Gianluigi Sommaruga;42;Italia;Maschio;1194;4;63;14306,28;1.580000000000000000;26,79;0;227,08;6;0.010000;10;Bonifico bancario
14;Rosa Giacometti;54;Italia;Femmina;27;2;2;419,44;2.000000000000000000;21,95;1;209,72;2;0.000000;0;Contrassegno
15;Nikola Hoffmann;54;Austria;Maschio;464;5;19;4612,89;1.230000000000000000;34,26;0;242,78;6;0.060000;1;PayPal
16;Kian Van Noordeloos;18;Paesi Bassi;Maschio;15;11;1;285,86;1.000000000000000000;21,95;1;285,86;1;0.000000;0;Carta di credito
17;Eva Parmitano;18;Italia;Femmina;132;65;4;563,07;0.910000000000000000;17,62;0;140,77;4;0.000000;0;Carta di credito
18;David Paier;54;Austria;Maschio;1075;10;50;17143,84;1.400000000000000000;17,57;0;342,88;6;0.020000;12;Bonifico bancario
19;Klaus-michael Liebelt;35;Germania;Maschio;559;45;18;1477,12;0.970000000000000000;30,99;0;82,06;6;0.050000;6;Bonifico bancario
20;Michael Sims;38;Canada;Maschio;875;12;69;12097,04;2.370000000000000000;11,55;0;175,32;6;0.010000;12;Bonifico bancario
21;María Teresa Vicens;53;Spagna;Femmina;513;39;17;3100,95;0.990000000000000000;20,03;0;182,41;6;0.070000;4;Carta di credito
22;Thibault Leroy;37;Francia;Maschio;193;8;13;2211,59;2.020000000000000000;13,53;0;170,12;6;0.100000;2;PayPal
23;Roberta Ruggieri;28;Italia;Femmina;1041;25;57;10193,18;1.640000000000000000;17,07;0;178,83;6;0.030000;8;Bonifico bancario
24;Erika Gradenigo;37;Italia;Femmina;424;17;14;1911,9;0.990000000000000000;21,82;0;136,56;6;0.000000;2;Contrassegno
25;Leandro Da Mota;24;Brasile;Maschio;1065;0;115;24520,21;3.240000000000000000;9,76;0;213,22;6;0.020000;19;Bonifico bancario
26;Bartek Osipiuk;21;Polonia;Maschio;340;20;12;2110,56;1.060000000000000000;22,52;0;175,88;6;0.000000;2;PayPal
